"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.10.2021","1.843,83","1.872,94","1.872,96","1.829,85","-","-1,94%"
"28.10.2021","1.880,37","1.874,63","1.884,33","1.857,28","-","-0,58%"
"27.10.2021","1.891,28","1.910,30","1.914,54","1.879,33","-","-1,31%"
"26.10.2021","1.916,29","1.925,11","1.933,59","1.916,29","-","-0,17%"
"25.10.2021","1.919,58","1.885,10","1.919,58","1.879,69","-","2,21%"
"22.10.2021","1.877,99","1.869,19","1.901,91","1.867,48","-","0,53%"
"21.10.2021","1.868,16","1.897,21","1.900,99","1.865,38","-","-1,92%"
"20.10.2021","1.904,77","1.900,69","1.906,85","1.889,05","-","0,25%"
"19.10.2021","1.900,04","1.890,05","1.901,94","1.880,34","-","1,25%"
"18.10.2021","1.876,56","1.884,39","1.884,39","1.869,25","-","-0,79%"
"15.10.2021","1.891,56","1.888,52","1.893,71","1.878,47","-","0,83%"
"14.10.2021","1.875,97","1.875,38","1.890,46","1.873,37","-","1,12%"
"13.10.2021","1.855,11","1.869,05","1.869,05","1.835,80","-","-0,79%"
"12.10.2021","1.869,94","1.867,33","1.876,79","1.860,64","-","-0,66%"
"11.10.2021","1.882,43","1.871,73","1.883,71","1.867,58","-","1,15%"
"08.10.2021","1.860,96","1.852,83","1.866,89","1.845,19","-","0,38%"
"07.10.2021","1.853,99","1.840,11","1.856,58","1.818,69","-","2,17%"
"06.10.2021","1.814,64","1.854,48","1.854,97","1.808,41","-","-1,38%"
"05.10.2021","1.840,11","1.793,01","1.840,37","1.793,01","-","3,04%"
"04.10.2021","1.785,75","1.775,49","1.791,34","1.769,91","-","0,80%"
"01.10.2021","1.771,50","1.762,31","1.776,24","1.754,69","-","-0,35%"
"30.09.2021","1.777,74","1.768,12","1.780,94","1.758,65","-","1,21%"
"29.09.2021","1.756,52","1.750,65","1.764,93","1.747,59","-","0,01%"
"28.09.2021","1.756,26","1.785,05","1.788,01","1.749,61","-","-1,01%"
"27.09.2021","1.774,24","1.765,25","1.775,24","1.760,34","-","1,53%"
"24.09.2021","1.747,56","1.751,00","1.751,74","1.733,26","-","-0,32%"
"23.09.2021","1.753,21","1.752,72","1.759,01","1.741,41","-","0,34%"
"22.09.2021","1.747,31","1.730,06","1.747,31","1.728,48","-","2,13%"
"21.09.2021","1.710,90","1.710,61","1.721,10","1.704,51","-","0,60%"
"20.09.2021","1.700,66","1.717,05","1.718,55","1.695,03","-","-2,54%"
"17.09.2021","1.745,04","1.756,17","1.758,81","1.738,96","-","-0,60%"
"16.09.2021","1.755,64","1.768,68","1.772,83","1.748,76","-","-0,62%"
"15.09.2021","1.766,67","1.751,85","1.773,04","1.749,48","-","0,69%"
"14.09.2021","1.754,60","1.755,29","1.760,36","1.746,38","-","0,20%"
"13.09.2021","1.751,08","1.728,23","1.751,08","1.724,72","-","1,50%"
"10.09.2021","1.725,25","1.729,11","1.734,77","1.721,15","-","-0,06%"
"09.09.2021","1.726,37","1.723,35","1.733,71","1.715,14","-","-0,01%"
"08.09.2021","1.726,53","1.723,42","1.733,71","1.709,79","-","0,15%"
"07.09.2021","1.723,91","1.738,97","1.742,31","1.721,46","-","-0,75%"
"06.09.2021","1.737,01","1.729,36","1.738,74","1.728,88","-","0,16%"
"03.09.2021","1.734,16","1.719,43","1.734,16","1.713,13","-","0,44%"
"02.09.2021","1.726,61","1.720,56","1.728,79","1.713,97","-","0,67%"
"01.09.2021","1.715,09","1.689,29","1.716,51","1.689,29","-","1,84%"
"31.08.2021","1.684,16","1.689,93","1.694,19","1.678,18","-","-0,03%"
"30.08.2021","1.684,70","1.669,47","1.684,70","1.669,47","-","1,23%"
"27.08.2021","1.664,25","1.642,58","1.664,25","1.634,70","-","1,80%"
"26.08.2021","1.634,79","1.648,21","1.650,36","1.627,66","-","-1,14%"
"25.08.2021","1.653,56","1.660,78","1.663,39","1.647,57","-","-0,44%"
"24.08.2021","1.660,90","1.658,37","1.663,79","1.647,20","-","0,66%"
"23.08.2021","1.649,94","1.642,23","1.651,11","1.640,12","-","1,63%"
"20.08.2021","1.623,50","1.639,98","1.641,28","1.618,00","-","-0,74%"
"19.08.2021","1.635,63","1.651,73","1.651,83","1.630,90","-","-2,36%"
"18.08.2021","1.675,21","1.694,66","1.695,41","1.672,52","-","-0,86%"
"17.08.2021","1.689,76","1.669,15","1.690,23","1.669,02","-","0,94%"
"16.08.2021","1.674,09","1.657,91","1.674,09","1.654,47","-","0,46%"
"13.08.2021","1.666,44","1.662,83","1.670,60","1.660,41","-","0,05%"
"12.08.2021","1.665,56","1.661,65","1.670,41","1.659,57","-","0,57%"
"11.08.2021","1.656,20","1.651,30","1.659,87","1.638,97","-","0,59%"
"10.08.2021","1.646,47","1.647,57","1.653,89","1.640,21","-","0,33%"
"09.08.2021","1.641,07","1.625,53","1.647,88","1.623,35","-","0,50%"
"06.08.2021","1.632,87","1.655,13","1.655,52","1.629,81","-","-1,24%"
"05.08.2021","1.653,31","1.636,30","1.653,84","1.635,07","-","0,79%"
"04.08.2021","1.640,30","1.648,20","1.651,97","1.636,97","-","0,16%"
"03.08.2021","1.637,70","1.632,84","1.641,88","1.624,14","-","0,11%"
"02.08.2021","1.635,90","1.632,24","1.644,27","1.630,27","-","0,62%"
"30.07.2021","1.625,76","1.626,66","1.636,17","1.620,15","-","-0,83%"
"29.07.2021","1.639,35","1.630,24","1.639,35","1.628,76","-","1,42%"
"28.07.2021","1.616,34","1.601,49","1.616,34","1.599,17","-","1,36%"
"27.07.2021","1.594,64","1.603,27","1.607,61","1.593,43","-","-0,49%"
"26.07.2021","1.602,53","1.584,31","1.605,14","1.574,63","-","0,42%"
"23.07.2021","1.595,86","1.607,53","1.609,15","1.592,90","-","-0,24%"
"22.07.2021","1.599,74","1.597,81","1.605,78","1.592,45","-","0,86%"
"21.07.2021","1.586,12","1.573,65","1.587,20","1.564,29","-","1,20%"
"20.07.2021","1.567,28","1.565,35","1.573,31","1.551,73","-","0,51%"
"19.07.2021","1.559,40","1.587,95","1.587,95","1.552,48","-","-2,73%"
"16.07.2021","1.603,10","1.610,16","1.620,50","1.593,29","-","-0,56%"
"15.07.2021","1.612,08","1.624,02","1.629,49","1.608,89","-","-0,84%"
"14.07.2021","1.625,77","1.635,15","1.642,74","1.624,76","-","-1,40%"
"13.07.2021","1.648,84","1.650,95","1.653,21","1.631,73","-","0,53%"
"12.07.2021","1.640,22","1.634,62","1.643,94","1.622,69","-","0,32%"
"09.07.2021","1.635,04","1.631,37","1.644,08","1.628,07","-","0,45%"
"08.07.2021","1.627,64","1.628,91","1.629,46","1.608,27","-","-0,84%"
"07.07.2021","1.641,42","1.648,92","1.661,88","1.633,20","-","-0,22%"
"06.07.2021","1.644,99","1.676,35","1.682,69","1.643,67","-","-1,18%"
"05.07.2021","1.664,55","1.665,44","1.667,54","1.658,50","-","0,29%"
"02.07.2021","1.659,72","1.650,94","1.666,10","1.644,06","-","0,19%"
"01.07.2021","1.656,61","1.656,70","1.676,18","1.654,68","-","0,17%"
"30.06.2021","1.653,78","1.646,58","1.662,32","1.632,33","-","0,84%"
"29.06.2021","1.640,08","1.663,68","1.665,66","1.638,35","-","-1,78%"
"28.06.2021","1.669,75","1.673,18","1.681,18","1.667,10","-","-0,14%"
"25.06.2021","1.672,08","1.668,40","1.672,67","1.660,54","-","0,43%"
"24.06.2021","1.664,94","1.666,52","1.673,59","1.656,41","-","-0,08%"
"23.06.2021","1.666,21","1.661,13","1.671,72","1.655,29","-","1,25%"
"22.06.2021","1.645,59","1.650,49","1.652,42","1.638,95","-","0,19%"
"21.06.2021","1.642,39","1.637,74","1.646,30","1.627,28","-","-0,26%"
"18.06.2021","1.646,72","1.657,59","1.661,68","1.644,12","-","-1,06%"
"17.06.2021","1.664,38","1.651,90","1.674,03","1.649,57","-","-0,87%"
"16.06.2021","1.679,02","1.669,37","1.681,13","1.664,65","-","0,82%"
"15.06.2021","1.665,31","1.691,65","1.695,46","1.663,82","-","-1,31%"
"14.06.2021","1.687,37","1.679,91","1.688,11","1.673,62","-","0,52%"
"11.06.2021","1.678,57","1.686,05","1.692,47","1.676,86","-","0,07%"
"10.06.2021","1.677,36","1.673,27","1.686,58","1.666,56","-","0,16%"
"09.06.2021","1.674,75","1.668,10","1.678,95","1.660,91","-","1,10%"
"08.06.2021","1.656,46","1.651,13","1.660,72","1.645,30","-","0,21%"
"07.06.2021","1.652,99","1.644,74","1.655,16","1.637,06","-","0,36%"
